xu,yu,xd,yd,xu_div_r0,yu_div_r0,yd_div_r0,xd_div_r0,xd_div_xu,yd_div_yu,sqr_r
34,0,149.5,30.5,0.5396825396825397,0.0,0.0,0.6190476190476191,1.147058823529412,,0.3832199546485261
-32,-12,74.3,16.5,-0.5079365079365079,-0.19047619047619047,-0.2222222222222222,-0.5746031746031747,1.13125,1.1666666666666667,0.37955152431342914
34,-6,149.3,23.5,0.5396825396825397,-0.09523809523809523,-0.1111111111111111,0.615873015873016,1.1411764705882357,1.1666666666666667,0.39164525069286993
34,-12,148.5,16.5,0.5396825396825397,-0.19047619047619047,-0.2222222222222222,0.6031746031746031,1.1176470588235294,1.1666666666666667,0.4132023179642227
-32,-18,74.5,10.5,-0.5079365079365079,-0.2857142857142857,-0.31746031746031744,-0.5714285714285714,1.125,1.1111111111111112,0.42731166540690346
-38,0,68.0,30.5,-0.6031746031746031,0.0,0.0,-0.6746031746031746,1.118421052631579,,0.45508944318468136
-38,-6,68.5,23.5,-0.6031746031746031,-0.09523809523809523,-0.1111111111111111,-0.6666666666666666,1.105263157894737,1.1666666666666667,0.4567901234567901
34,-18,148.0,10.5,0.5396825396825397,-0.2857142857142857,-0.31746031746031744,0.5952380952380952,1.1029411764705883,1.1111111111111112,0.45508944318468125
-38,-12,69.2,17.1,-0.6031746031746031,-0.19047619047619047,-0.21269841269841266,-0.6555555555555556,1.086842105263158,1.1166666666666665,0.47499370118417733
40,0,154.5,30.5,0.6349206349206349,0.0,0.0,0.6984126984126984,1.1,,0.48778029730410677
40,-6,154.0,23.5,0.6349206349206349,-0.09523809523809523,-0.1111111111111111,0.6904761904761905,1.0875000000000001,1.1666666666666667,0.48910304862685816
40,-12,153.5,17.5,0.6349206349206349,-0.19047619047619047,-0.20634920634920634,0.6825396825396826,1.0750000000000002,1.0833333333333333,0.508440413202318
-38,-18,69.5,10.5,-0.6031746031746031,-0.2857142857142857,-0.31746031746031744,-0.6507936507936508,1.0789473684210527,1.1111111111111112,0.5243134290753338
40,-18,153.3,11.3,0.6349206349206349,-0.2857142857142857,-0.30476190476190473,0.6793650793650795,1.0700000000000003,1.0666666666666667,0.554416729654825
